# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 19214
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 19214
DATA ascii
-0.03677153 0.0385266 -0.014769
-0.03458531 0.03100175 -0.02035971
0.0270416 -0.03576924 -0.01541028
-0.01594963 0.02296635 -0.037972
0.002025647 -0.001368484 -0.04792034
-0.02358623 0.02296286 -0.03219296
-0.0286889 0.03728398 -0.02471432
0.04933147 0.00814167 -0.005719257
-0.006172174 0.02891377 -0.03050694
-0.01013611 -0.06369845 -0.03391308
-0.01013342 0.02906189 -0.03042313
0.0518482 -0.06521641 -0.002588873
-0.01770226 -0.02498207 -0.02249672
0.04784733 -0.03202056 -0.009579253
-0.03083779 0.05290785 -0.01715881
0.01033935 0.07832292 -0.01463651
0.04292808 -0.05522188 -0.0201861
0.02263096 0.06123297 -0.0217386
0.04769231 -0.006918719 -0.01069706
0.03258684 0.009105701 -0.02260477
0.0422245 0.01729971 -0.01252125
-0.005439919 -0.005286567 -0.0440642
0.04422414 0.0306691 -0.006250841
0.05104414 -0.06452971 -0.004127549
0.02166767 -0.01243475 -0.02388356
0.004825877 0.07149804 -0.02762059
-0.05075567 -0.07533 -0.003491425
-0.004947941 -0.03685554 -0.03196221
0.002755899 0.07857109 -0.01738574
-0.03998177 0.02450151 -0.01335702
-0.009225786 -0.01293626 -0.04023597
-0.04394127 -0.02016612 -0.01391743
-0.02230262 0.04721 -0.02787437
-0.03691885 -0.04479596 -0.02243256
-0.054681 -0.06489662 -0.001039543
0.003074042 -0.0256098 -0.04373907
-0.01896356 0.04258469 -0.02222243
0.01527071 0.003724015 -0.03638938
-0.0001077837 0.02926712 -0.03152732
0.006466602 0.049775 -0.03291169
-0.01368576 -0.007654191 -0.03284623
0.01125495 0.04582341 -0.03440611
0.03894117 -0.06448857 -0.0197692
0.04376826 0.01428862 -0.01126571
-0.03604108 0.01989046 -0.01903858
0.006527015 -0.01378241 -0.04889886
0.01015955 -0.02302748 -0.03219127
0.01055218 -0.06999975 -0.03102353
-0.03958565 -0.04707935 -0.02150582
-0.03783681 0.03299524 -0.01505899
-0.002855186 0.0513275 -0.03312162
-0.01722015 0.01846519 -0.03647694
0.03421428 -0.07043352 -0.02099041
