# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 100000
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 100000
DATA ascii
0.04960278 -0.09806294 0.1128004
0.03987542 -0.1166604 0.02901231
0.03961898 -0.08376257 0.1302552
0.06609742 0.01244662 0.05368977
-0.03914774 -0.1218187 0.04193582
-0.05800528 -0.0012884 0.003577652
0.03578679 -0.06229473 -0.02341789
-0.05842192 -0.06341311 0.1195954
0.01316289 -0.01042318 -0.03244605
0.007726097 -0.0788512 -0.02783232
-0.04816522 -0.1071281 0.1027351
-0.04587854 0.0816718 0.04976873
0.0591167 0.006218628 0.09709987
0.07173711 -0.03017588 0.04731651
0.02828186 0.04268771 -0.02298771
0.004456037 -0.0693161 0.1460657
0.0112968 -0.1261557 0.02381335
0.04650939 0.07102101 0.09649733
0.03876142 0.06592712 0.01785986
-0.01875942 0.02934962 -0.02654287
0.02461507 0.1160108 0.03795819
0.0056274 0.008121621 0.1308025
-0.08197901 -0.03603089 0.06053124
0.0710452 -0.06340264 0.100746
0.01345024 0.06790326 -0.0267165
0.01586634 0.06087076 0.1223101
0.03445498 -0.1128898 0.1075324
0.03885012 0.01369643 -0.01712345
0.07350019 -0.00254413 0.05675443
-0.03457517 -0.1241234 0.04135859
0.06771383 -0.02208419 0.01818751
0.05927674 -0.08579022 0.0190071
-0.06480758 -0.03272641 0.01567032
0.02608094 -0.01925277 0.1390109
0.0107064 -0.02481853 -0.02999614
-0.05430599 0.01921997 0.006324179
0.01214187 0.108418 0.02763451
0.02062329 -0.1297649 0.05180556
-0.0437167 -0.09531914 -0.002549242
-0.07301196 -0.08380402 0.07144002
0.07243699 -0.05817978 0.04722872
-0.0471455 -0.1148584 0.03358207
0.05027408 -0.04463755 -0.01041756
-0.009945864 -0.08254782 0.1414181
0.0688066 0.005313427 0.04844224
0.07584272 -0.06216956 0.08187407
-0.03120313 0.07751825 0.02750536
0.005591425 -0.01448978 0.1421102
-0.05400752 0.07467342 0.06831156
-0.05883503 0.01240351 0.08717789
0.01238997 -0.0541336 0.1469465
0.05939974 0.02444505 0.08216338
-0.06966452 -0.02111046 0.09088779
